Heavy Pulp complete AM/PM frame audit
Source: Heavy_Pulp_-_Somewhere_in_Sedona_v38gk3.mp4
Source SHA-256: 9fbcd936366c423ae0c25b500f90ecf0b7534bfa8da1e394549edd1c0d4ffdf6
Frame numbering: zero-based; 30 fps; 6,998 total frames

frame	video_time	meridiem_status
0	00:00.000	NO_VISIBLE_TIMESTAMP
1	00:00.033	NO_VISIBLE_TIMESTAMP
2	00:00.067	NO_VISIBLE_TIMESTAMP
3	00:00.100	NO_VISIBLE_TIMESTAMP
4	00:00.133	NO_VISIBLE_TIMESTAMP
5	00:00.167	NO_VISIBLE_TIMESTAMP
6	00:00.200	NO_VISIBLE_TIMESTAMP
7	00:00.233	NO_VISIBLE_TIMESTAMP
8	00:00.267	NO_VISIBLE_TIMESTAMP
9	00:00.300	NO_VISIBLE_TIMESTAMP
10	00:00.333	NO_VISIBLE_TIMESTAMP
11	00:00.367	NO_VISIBLE_TIMESTAMP
12	00:00.400	NO_VISIBLE_TIMESTAMP
13	00:00.433	NO_VISIBLE_TIMESTAMP
14	00:00.467	NO_VISIBLE_TIMESTAMP
15	00:00.500	NO_VISIBLE_TIMESTAMP
16	00:00.533	NO_VISIBLE_TIMESTAMP
17	00:00.567	NO_VISIBLE_TIMESTAMP
18	00:00.600	NO_VISIBLE_TIMESTAMP
19	00:00.633	NO_VISIBLE_TIMESTAMP
20	00:00.667	NO_VISIBLE_TIMESTAMP
21	00:00.700	NO_VISIBLE_TIMESTAMP
22	00:00.733	NO_VISIBLE_TIMESTAMP
23	00:00.767	NO_VISIBLE_TIMESTAMP
24	00:00.800	NO_VISIBLE_TIMESTAMP
25	00:00.833	NO_VISIBLE_TIMESTAMP
26	00:00.867	NO_VISIBLE_TIMESTAMP
27	00:00.900	NO_VISIBLE_TIMESTAMP
28	00:00.933	NO_VISIBLE_TIMESTAMP
29	00:00.967	NO_VISIBLE_TIMESTAMP
30	00:01.000	NO_VISIBLE_TIMESTAMP
31	00:01.033	NO_VISIBLE_TIMESTAMP
32	00:01.067	NO_VISIBLE_TIMESTAMP
33	00:01.100	NO_VISIBLE_TIMESTAMP
34	00:01.133	NO_VISIBLE_TIMESTAMP
35	00:01.167	NO_VISIBLE_TIMESTAMP
36	00:01.200	NO_VISIBLE_TIMESTAMP
37	00:01.233	NO_VISIBLE_TIMESTAMP
38	00:01.267	NO_VISIBLE_TIMESTAMP
39	00:01.300	NO_VISIBLE_TIMESTAMP
40	00:01.333	NO_VISIBLE_TIMESTAMP
41	00:01.367	NO_VISIBLE_TIMESTAMP
